player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label
00-0033280,Christian McCaffrey,SF,RB,RB,2025,2026,440,17,23.114808627693463,6.1148086276934634,0.7930457678818922,29.146878482725775,0.10057792648910445,0.0,0.10057792648910445,2.9315326014224534,9.046341229115917,26.046341229115917,Strong Positive (Buy)
00-0040078,Brashard Smith,KC,RB,RB,2025,2026,79,1,3.863888269399512,2.863888269399512,0.20839404753390917,18.541260247708337,0.7916059524660908,0.4900360145729177,0.3015699378931731,5.591486701362562,8.455374970762074,9.455374970762074,Strong Positive (Buy)
00-0036555,Chuba Hubbard,CAR,RB,RB,2025,2026,173,4,5.408446197850136,1.408446197850136,0.38014016643670934,14.227505208267972,0.45450451496811173,0.02433689243028062,0.4301676225378311,6.120212090085243,7.528658287935379,11.528658287935379,Strong Positive (Buy)
00-0037228,Jaylen Warren,PIT,RB,RB,2025,2026,256,8,11.794665428535833,3.7946654285358328,0.5060298961637445,23.308238343133855,0.4612973960013112,0.33901236480408387,0.12228503119722733,2.850248652942534,6.644914081478367,14.644914081478367,Strong Positive (Buy)
00-0039067,Rashee Rice,KC,WR,WR,2025,2026,83,6,8.082534707048348,2.0825347070483478,0.419298340798822,19.276333628342027,0.21778421493013148,0.0,0.21778421493013148,4.198081185979761,6.280615893028108,12.28061589302811,Strong Positive (Buy)
00-0039880,Malik Washington,MIA,WR,WR,2025,2026,82,4,4.437883152375084,0.43788315237508435,0.37545428106268175,11.820036090184264,0.541721773736585,0.08048947716677848,0.4612322965698066,5.451782391413685,5.8896655437887695,9.88966554378877,Strong Positive (Buy)
00-0038542,Bijan Robinson,ATL,RB,RB,2025,2026,390,11,11.233385617405377,0.23338561740537678,0.605740431538759,18.544883307309156,0.39136618377890986,0.13756915252120547,0.25379703125770436,4.706636328415621,4.940021945820998,15.940021945820998,Strong Positive (Buy)
00-0038558,Darnell Washington,PIT,TE,TE,2025,2026,43,1,2.9785961038280115,1.9785961038280115,0.264116976734972,11.277563981874902,0.24709710491432607,0.006465792401917281,0.2406313125124088,2.7137350229012247,4.692331126729236,5.692331126729236,Strong Positive (Buy)
00-0036997,Javonte Williams,DAL,RB,RB,2025,2026,303,13,16.81274073148232,3.8127407314823216,0.7356555987053525,22.854091997764055,0.03549059850603519,0.0,0.03549059850603519,0.8111054033126358,4.623846134794958,17.623846134794956,Strong Positive (Buy)
00-0036322,Justin Jefferson,MIN,WR,WR,2025,2026,143,2,7.218653545192752,5.218653545192752,0.454048372892166,15.898423992166013,0.1621119758022471,0.21565612204304455,-0.05354414624079745,-0.8512675392347399,4.3673860059580125,6.3673860059580125,Strong Positive (Buy)
00-0040583,Woody Marks,HOU,RB,RB,2025,2026,232,5,9.289975922045103,4.2899759220451035,0.5050970533935779,18.39245717160468,0.3049407115398185,0.3055600034328531,-0.0006192918930346125,-0.011390299619361097,4.278585622425743,9.278585622425743,Strong Positive (Buy)
00-0034960,Jakobi Meyers,JAX,WR,WR,2025,2026,115,3,5.385124544824807,2.385124544824807,0.2550973682447707,21.110074877988076,0.0883248691063876,0.0,0.0883248691063876,1.8645446004243378,4.249669145249145,7.249669145249145,Strong Positive (Buy)
